lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,date
-8.77,160.7,298.08,85,100,2.29,SB,1594463594
-40.81,-63.0,278.09,67,50,8.68,AR,1594463595
63.73,8.83,285.15,76,40,7.7,NO,1594463595
28.27,83.59,298.59,77,75,1.38,NP,1594463425
-9.66,120.26,297.35,82,59,4.64,ID,1594463595
-25.4,-70.48,284.56,72,11,1.36,CL,1594463595
54.32,-130.32,285.15,93,90,5.1,CA,1594463425
-30.67,-51.4,286.36,93,100,2.77,BR,1594463596
-38.0,-57.56,276.48,72,0,4.6,AR,1594463410
-38.72,-62.27,278.49,64,19,6.73,AR,1594463596
-22.96,14.51,293.15,26,6,6.7,NA,1594463596
-41.15,-71.31,274.15,90,90,9.3,AR,1594463390
69.3,139.9,291.67,47,65,2.37,RU,1594463597
68.22,-135.01,276.15,93,20,2.6,CA,1594463597
46.43,26.4,302.15,35,0,6.7,RO,1594463597
-23.7,133.88,286.15,47,8,3.6,AU,1594463443
22.93,97.75,297.51,96,99,1.14,MM,1594463597
-33.7,-53.46,279.0,82,6,3.59,UY,1594463597
70.02,135.6,297.12,43,100,1.93,RU,1594463598
-13.2,49.05,304.76,37,24,4.19,MG,1594463598
40.92,17.02,306.48,37,0,2.6,IT,1594463598
46.41,-105.84,285.15,87,1,3.6,US,1594463598
49.78,-74.85,293.15,94,90,3.22,CA,1594463598
33.28,134.15,298.15,100,75,1.5,JP,1594463599
-22.28,166.46,293.71,88,20,3.1,NC,1594463599
-34.68,150.87,284.82,94,99,1.92,AU,1594463599
18.98,73.1,304.15,79,75,6.2,IN,1594463599
6.62,73.07,301.98,70,96,3.28,MV,1594463599
-24.76,-51.76,287.46,88,73,0.95,BR,1594463600
39.36,-9.38,298.15,65,0,1.34,PT,1594463600
23.27,68.83,303.58,76,100,9.46,IN,1594463600
20.87,-90.4,298.95,88,69,3.7,MX,1594463600
14.9,-24.5,297.22,80,27,4.31,CV,1594463600
48.57,83.65,298.45,38,99,5.11,KZ,1594463601
-46.28,169.85,283.15,51,79,1.79,NZ,1594463601
-21.15,55.28,298.15,53,44,6.2,RE,1594463601
